                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1478,                 2.5764,                 2.8767,                 1.4181,                0.00914,                0.57812,                0.00868,                0.00455,                0.00621,                0.39844,                0.00475,                0.00274,                 1.6905,                 22.009,                    inf,                 3.1325,                0.00056,                0.00056,                0.00056
                      2,                 1.1979,                 2.2651,                 1.4873,                 1.4763,                0.00208,                0.36719,                0.00135,                0.00024,                      0,                      0,                      0,                      0,                 3.8731,                    nan,                    inf,                 466.79,              0.0010949,              0.0010949,              0.0010949
                      3,                 1.2535,                 2.2103,                 1.5455,                 1.5419,                 0.0005,                0.14844,                0.00045,                0.00013,                0.00058,                0.17188,                0.00049,                0.00014,                 3.5136,                    nan,                    inf,                 44.459,              0.0015838,              0.0015838,              0.0015838
                      4,                 1.2814,                 2.1971,                 1.4781,                 1.5367,                0.04688,                0.04688,                0.00567,                0.00179,                0.01562,                0.01562,                0.00037,                  8e-05,                 3.2616,                 44.783,                 139.94,                 4.2889,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2507,                 2.1425,                 1.2971,                 1.5223,                0.43776,                0.52344,                0.46752,                0.23614,                0.38901,                0.46094,                0.38291,                0.18861,                 1.7345,                 23.993,                 6.7205,                 2.6013,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.1869,                 2.1822,                 1.2579,                 1.4959,                0.07967,                0.47546,                0.06154,                0.03099,                0.07967,                0.47546,                0.06022,                0.02726,                 1.6446,                  5.659,                 12.098,                 2.3496,               0.001604,               0.001604,               0.001604
                      7,                 1.1266,                  2.024,                 1.0444,                 1.4475,                0.65018,                0.50821,                0.60028,                0.37571,                0.65154,                0.54049,                0.59508,                0.38066,                  1.424,                 2.7538,                 2.4718,                 2.1403,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.1093,                 1.9757,                 1.0863,                 1.4164,                0.26589,                0.53125,                 0.3187,                0.17553,                0.27009,                0.35938,                0.28079,                0.13457,                 1.9387,                 4.8875,                  2.679,                  2.765,              0.0014456,              0.0014456,              0.0014456
                      9,                  1.095,                 2.0408,                 1.1099,                 1.4378,                0.68363,                0.58594,                0.67065,                0.45945,                 0.7008,                0.60386,                0.66863,                0.44065,                 1.2956,                 3.1036,                 1.3743,                 2.0165,              0.0013664,              0.0013664,              0.0013664
                     10,                  1.049,                  1.881,                 1.0448,                  1.365,                0.70738,                0.66406,                 0.7066,                0.48612,                0.68647,                0.64062,                0.67517,                0.44299,                 1.1956,                 2.8529,                  1.437,                 1.8159,              0.0012872,              0.0012872,              0.0012872
